precision,recall,threshold
0.03591421198832471,0.9988235294117647,0.1134907100467436
0.03591750396615547,0.9988235294117647,0.11379107879902361
0.0359177572202166,0.9988235294117647,0.11381651972370094
0.03591801047784915,0.9988235294117647,0.11404160524670065
0.035924343079592094,0.9988235294117647,0.11416608582527797
0.03593346594997249,0.9988235294117647,0.11426016033859171
0.0359337194291801,0.9988235294117647,0.11435713509590927
0.035934226398323915,0.9988235294117647,0.11438464091716903
0.035934479888260276,0.9988235294117647,0.11467580216284863
0.03593524037952806,0.9988235294117647,0.11470380008064733
0.035939043318752646,0.9988235294117647,0.11470427640117509
0.035941071882143766,0.9988235294117647,0.11504696218109887
0.03594132546866952,0.9988235294117647,0.11514652146347053
0.03594157905877372,0.9988235294117647,0.11516593667154375
0.03594183265245645,0.9988235294117647,0.11532638989271123
0.03594335428970598,0.9988235294117647,0.11536560470022254
0.03594360790844047,0.9988235294117647,0.11556355884032278
0.03594538333980171,0.9988235294117647,0.11559155675812148
0.03595071068640874,0.9988235294117647,0.1157432761047648
0.03595096440896869,0.9988235294117647,0.115749926942961
0.03595121813510996,0.9988235294117647,0.11621414657018538
0.035952740567169655,0.9988235294117647,0.11640370451113015
0.03595299431838233,0.9988235294117647,0.11747576793231117
0.03595400935905308,0.9988235294117647,0.11792254484772613
0.03595426312817617,0.9988235294117647,0.11798003267605434
0.03595451690088157,0.9988235294117647,0.11836352460978532
0.0359550244570396,0.9988235294117647,0.11904433524943066
0.03595527824049239,0.9988235294117647,0.11924579019021377
0.03595553202752779,0.9988235294117647,0.11936740556634835
0.03595578581814588,0.9988235294117647,0.11987194753811149
0.035956039612346745,0.9988235294117647,0.12013354686768792
0.03595654721149706,0.9988235294117647,0.12075970421558564
0.03595705482497935,0.9988235294117647,0.12095813874551263
0.03595730863709518,0.9988235294117647,0.12141915423586708
0.03595756245279423,0.9988235294117647,0.12283785446645885
0.03595781627207657,0.9988235294117647,0.12437842788420667
0.03595807009494229,0.9988235294117647,0.12710190380193578
0.035958323921391463,0.9988235294117647,0.12851160815775534
0.03595857775142416,0.9988235294117647,0.12939936483522949
0.03595883158504045,0.9988235294117647,0.1296992058472296
0.03595908542224042,0.9988235294117647,0.13128535154866536
0.035959339263024144,0.9988235294117647,0.13172669174347404
0.03595959310739169,0.9988235294117647,0.13200860755043492
0.03595984695534315,0.9988235294117647,0.1339728109666101
0.03596010080687859,0.9988235294117647,0.136748894399518
0.03596035466199808,0.9988235294117647,0.13679814568164225
0.0359606085207017,0.9988235294117647,0.13831413507111584
0.03596086238298954,0.9988235294117647,0.13966582550929332
0.035961116248861655,0.9988235294117647,0.14058150518926757
0.03596137011831813,0.9988235294117647,0.1410050151803958
0.03596162399135904,0.9988235294117647,0.143210114234373
0.035966448260280164,0.9988235294117647,0.1434910525684087
0.03596797198254558,0.9988235294117647,0.1435352721682266
0.03597228989682859,0.9988235294117647,0.14380690280317374
0.035972543924072085,0.9988235294117647,0.14386136789767487
0.03597381411410775,0.9988235294117647,0.14390804667550872
0.035974068162879055,0.9988235294117647,0.14408385822738304
0.03597457627118644,0.9988235294117647,0.14437729862345952
0.036039222899834446,0.9988235294117647,0.14452603689861027
0.036040497803185204,0.9988235294117647,0.14453448261253113
0.03604177279673968,0.9988235294117647,0.1446448689652319
0.03604202780627587,0.9988235294117647,0.14464778110642065
0.03604355793927644,0.9988235294117647,0.1446582369574952
0.036119974473516274,0.9988235294117647,0.1447024565573131
0.036270389628890946,0.9984313725490196,0.14502855228676137
0.03636337668087781,0.9984313725490196,0.1450575944765982
0.03636389605010391,0.9984313725490196,0.14513191014253582
0.03636415574028051,0.9984313725490196,0.14524710737865243
0.03636441543416627,0.9984313725490196,0.14525104261646957
0.03639118378548355,0.9984313725490196,0.14525105323233065
0.036391443865554624,0.9984313725490196,0.1452562155187549
0.036391703949343206,0.9984313725490196,0.14527248525653044
0.03639196403684936,0.9984313725490196,0.14530194032480023
0.03640080922458842,0.9984313725490196,0.14540569982325105
0.036401069442260126,0.9984313725490196,0.1454496452901
0.03640132966365229,0.9984313725490196,0.14546959770836063
0.036401589888764976,0.9984313725490196,0.14569322128769677
0.03642919486614489,0.9984313725490196,0.14570166700161763
0.0364578858435719,0.9984313725490196,0.1457287063216024
0.03645814687793108,0.9984313725490196,0.14581496549550715
0.036500483853625316,0.9984313725490196,0.14591177637958783
0.03650100714679971,0.9984313725490196,0.1459624731084922
0.036501268799013636,0.9984313725490196,0.1460335205873982
0.036501530454978816,0.9984313725490196,0.1462247788656847
0.03655393715766577,0.9984313725490196,0.1462351309804138
0.03655419956927495,0.9984313725490196,0.1463280050398781
0.03655446198465172,0.9984313725490196,0.14644333395757575
0.03655472440379618,0.9984313725490196,0.1465962335347021
