threshold,precision,recall,f1,cost,TP,FP,FN,TN,f_beta_0.5,f_beta_1.0,f_beta_2.0
0.3857710843373494,0.5384410747539239,0.3968627450980392,0.45693644880912065,4811.0,2024,1735,3076,140800,0.5025824394119982,0.45693644880912065,0.418891510410199
0.3877751004016064,0.5412943406444625,0.3919607843137255,0.4546798589787331,4795.0,1999,1694,3101,140841,0.502969001610306,0.4546798589787331,0.4148507865355083
0.38977911646586344,0.5485937064884433,0.3862745098039216,0.453342538257968,4751.0,1970,1621,3130,140914,0.5060624743115495,0.453342538257968,0.4105706306531616
0.3917831325301205,0.5565365992594702,0.38313725490196077,0.45383811404018115,4703.0,1954,1557,3146,140978,0.510342666109486,0.45383811404018115,0.4085985529672535
0.3937871485943775,0.5689706318599822,0.37607843137254904,0.45283909809939793,4635.0,1918,1453,3182,141082,0.5160352991820921,0.45283909809939793,0.40343275419628966
0.3957911646586345,0.5741296518607443,0.3750980392156863,0.4537476280834915,4606.0,1913,1419,3187,141116,0.5190471022357283,0.4537476280834915,0.4030423057475139
0.39779518072289155,0.5801070192005037,0.36137254901960786,0.44533043373202846,4591.0,1843,1334,3257,141201,0.5174640610961366,0.44533043373202846,0.3908470119183951
0.3997991967871486,0.5886319845857418,0.3594117647058824,0.44631117604090575,4548.0,1833,1281,3267,141254,0.5220437457279562,0.44631117604090575,0.3897677979076295
0.40180321285140563,0.5939947780678851,0.3568627450980392,0.4458598726114649,4524.0,1820,1244,3280,141291,0.5243143581470384,0.4458598726114649,0.38782816229116945
0.4038072289156626,0.6009966777408637,0.3547058823529412,0.4461159062885327,4492.0,1809,1201,3291,141334,0.5277129521586931,0.4461159062885327,0.38637334472447676
0.40581124497991966,0.6083727211343687,0.35333333333333333,0.4470354750682213,4458.0,1802,1160,3298,141375,0.5316261505782394,0.4470354750682213,0.38566903518534373
0.4078152610441767,0.6182758620689656,0.3515686274509804,0.44825,4414.0,1793,1107,3307,141428,0.5368263473053893,0.44825,0.3847639484978541
0.40981927710843374,0.623249299719888,0.34901960784313724,0.4474610356963298,4396.0,1780,1076,3320,141459,0.5386105059307674,0.4474610356963298,0.3826969384244926
0.41182329317269073,0.6345670140136543,0.34627450980392155,0.4480527717873906,4351.0,1766,1017,3334,141518,0.5439871858058156,0.4480527717873906,0.3808825432428935
0.41382730923694777,0.6413564319941024,0.3411764705882353,0.44541149366440547,4333.0,1740,973,3360,141562,0.5453861584754263,0.44541149366440547,0.37641154328732745
0.4158313253012048,0.6490015360983102,0.33137254901960783,0.4387331256490134,4324.0,1690,914,3410,141621,0.5445991234854345,0.4387331256490134,0.36732742131803164
0.41783534136546185,0.6576576576576577,0.3292156862745098,0.4387821769240821,4295.0,1679,874,3421,141661,0.5482628004179728,0.4387821769240821,0.3657473968544417
0.41983935742971884,0.6630994847403884,0.32803921568627453,0.4389348025711662,4277.0,1673,850,3427,141685,0.5506187467087941,0.4389348025711662,0.36491733193735554
0.4218433734939759,0.67178658043654,0.32588235294117646,0.4388698177977291,4250.0,1662,812,3438,141723,0.5541477727393972,0.4388698177977291,0.36329457025443734
0.4238473895582329,0.6752032520325203,0.3256862745098039,0.4394179894179893,4238.0,1661,799,3439,141736,0.5558902275769745,0.4394179894179893,0.3632983377077865
0.42585140562248996,0.6796554552912223,0.3249019607843137,0.4396391615813213,4224.0,1657,781,3443,141754,0.557837328305952,0.4396391615813213,0.36277257202907437
0.42785542168674695,0.6829370045890697,0.32098039215686275,0.4367080165399493,4223.0,1637,760,3463,141775,0.5572576252723311,0.4367080165399493,0.3590384699741194
0.429859437751004,0.6843211433375368,0.3192156862745098,0.43535231982885414,4223.0,1628,751,3472,141784,0.5569239189928845,0.43535231982885414,0.35734667895869
0.43186345381526103,0.6946864111498258,0.3127450980392157,0.4313142239048134,4206.0,1595,701,3505,141834,0.5583169980397648,0.4313142239048134,0.35138350370109267
0.4338674698795181,0.6981962164540255,0.3111764705882353,0.4304896243048962,4199.0,1587,686,3513,141849,0.5591178128523111,0.4304896243048962,0.34997574207206805
0.43587148594377506,0.7087511394712853,0.30490196078431375,0.42637784480394847,4184.0,1555,639,3545,141896,0.5603199769385991,0.42637784480394847,0.34411790740904674
0.4378755020080321,0.7128440366972477,0.30470588235294116,0.4269230769230769,4172.0,1554,626,3546,141909,0.5622286541244573,0.4269230769230769,0.3441098317094774
0.43987951807228914,0.7165973185390662,0.30392156862745096,0.4268208729175271,4163.0,1550,613,3550,141922,0.5635543920884235,0.4268208729175271,0.3434826929043124
0.4418835341365462,0.7191272051996286,0.3037254901960784,0.42707471739729796,4156.0,1549,605,3551,141930,0.5646689997083697,0.42707471739729796,0.343398066861754
0.44388755020080317,0.7206703910614525,0.3035294117647059,0.4271523178807947,4152.0,1548,600,3552,141935,0.5652936021034181,0.4271523178807947,0.34326769558275677
0.4458915662650602,0.7231850117096019,0.3027450980392157,0.4268140981340705,4147.0,1544,591,3556,141944,0.5659824046920823,0.4268140981340705,0.34257821167073443
0.44789558232931725,0.7264595103578154,0.30254901960784314,0.42718715393133994,4138.0,1543,581,3557,141954,0.5674463077375699,0.42718715393133994,0.34252353045640205
0.4498995983935743,0.728436018957346,0.30137254901960786,0.42635228848821083,4136.0,1537,573,3563,141962,0.5675775480059084,0.42635228848821083,0.34140382052421153
0.45190361445783134,0.7300906056270863,0.3001960784313725,0.42545505071557593,4135.0,1531,566,3569,141969,0.5675415183867141,0.42545505071557593,0.3402675912343868
0.4539076305220883,0.7321514135122185,0.2996078431372549,0.42521218867399474,4131.0,1528,559,3572,141976,0.5681142177275431,0.42521218867399474,0.33975185662827406
0.45591164658634536,0.7372262773722628,0.29705882352941176,0.42348008385744235,4125.0,1515,540,3585,141995,0.5686936936936936,0.42348008385744235,0.33734134936539745
0.4579156626506024,0.7378167641325536,0.2968627450980392,0.4233780760626398,4124.0,1514,538,3586,141997,0.5688307784791102,0.4233780760626398,0.33716372706217707
0.45991967871485945,0.7381533952125061,0.29627450980392156,0.4228347558416119,4125.0,1511,536,3589,141999,0.5685580975316075,0.4228347558416119,0.3365705884973493
0.46192369477911643,0.7398334149926507,0.296078431372549,0.422909956588713,4121.0,1510,531,3590,142004,0.5692098914354644,0.422909956588713,0.33643777015284526
0.4639277108433735,0.7430966469428008,0.29549019607843136,0.42283950617283944,4114.0,1507,521,3593,142014,0.5703148652739932,0.42283950617283944,0.335963973604423
0.4659317269076305,0.7459057071960298,0.29470588235294115,0.422487702037948,4109.0,1503,512,3597,142023,0.5710486322188449,0.422487702037948,0.3352665625697077
0.46793574297188756,0.749001996007984,0.2943137254901961,0.4225788288288288,4102.0,1501,503,3599,142032,0.5722018908203721,0.4225788288288288,0.3349848241385467
0.46993975903614454,0.7546882919412062,0.29196078431372546,0.42103774918704934,4095.0,1489,484,3611,142051,0.5730449507389161,0.42103774918704934,0.33276717471952794
0.4719437751004016,0.7575293517100562,0.2909803921568627,0.42045615526278507,4091.0,1484,475,3616,142060,0.5735930735930735,0.42045615526278507,0.33185741759470455
0.4739477911646586,0.7606574216743708,0.2903921568627451,0.4203207038456081,4085.0,1481,466,3619,142069,0.5745654872749845,0.4203207038456081,0.33136438895601195
0.47595180722891567,0.762641898864809,0.28980392156862744,0.4200056834327935,4082.0,1478,460,3622,142075,0.5750077808901338,0.4200056834327935,0.33082639448473455
0.47795582329317265,0.7660239708181344,0.28823529411764703,0.41886308590967375,4079.0,1470,449,3630,142086,0.5752974326862867,0.41886308590967375,0.32931582956225636
